Drugid;Navn;Lægemiddelform;Styrketekst;AktiveSubstanser;MftIndehaver;ATC-kode;Godkendt procedure;Godkendt rolle;Registreringsdato;Er i Medicinpriser;;
28105229212;Abilify Maintena;pulver og solvens til depotinjektionsvæske, suspension;400 mg;Aripiprazol;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;Central;MOD;15-11-2013;Ja;;
28105583915;Abilify Maintena;pulver og solvens til depotinjektionsvæske, suspension i fyldt injektionssprøjte;300 mg;Aripiprazol;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;Central;MOD;26-03-2015;Nej;;
28105584015;Abilify Maintena;pulver og solvens til depotinjektionsvæske, suspension i fyldt injektionssprøjte;400 mg;Aripiprazol;Otsuka Pharmaceutical Netherlands B.V.;N05AX12;Central;MOD;26-03-2015;Ja;;
28106330719;"Abirateron ""AET""";filmovertrukne tabletter;500 mg;Abirateronacetat;Alfred E. Tiefenbacher GmbH & Co. KG;L02BX03;Decentral procedure;RMS;11-03-2022;Nej;;
28106330619;"Abirateron ""AET""";tabletter;250 mg;Abirateronacetat;Alfred E. Tiefenbacher GmbH & Co. KG;L02BX03;Decentral procedure;RMS;11-03-2022;Nej;;
28106330319;"Abirateron ""Aristo""";filmovertrukne tabletter;500 mg;Abirateronacetat;Aristo Pharma GmbH;L02BX03;Decentral procedure;RMS;17-03-2022;Nej;;
28106330219;"Abirateron ""Aristo""";tabletter;250 mg;Abirateronacetat;Aristo Pharma GmbH;L02BX03;Decentral procedure;RMS;17-03-2022;Nej;;
28106548120;"Abirateron ""Day Zero""";filmovertrukne tabletter;500 mg;Abirateronacetat;Day Zero ehf.;L02BX03;Decentral procedure;RMS;30-05-2022;Nej;;
28106329919;"Abiraterone ""Accord""";filmovertrukne tabletter;500 mg;Abirateronacetat;Accord Healthcare S.L.U.;L02BX03;Central;MOD;26-04-2021;Ja;;
28106329819;"Abiraterone ""Accord""";tabletter;250 mg;Abirateronacetat;Accord Healthcare S.L.U.;L02BX03;Central;MOD;26-04-2021;Nej;;
28106328619;"Abiraterone ""Glenmark""";filmovertrukne tabletter;500 mg;Abirateronacetat;Glenmark Arzneimittel GmbH;L02BX03;Decentral procedure;CMS;25-02-2022;Ja;;
28106473020;"Abiraterone ""Krka""";filmovertrukne tabletter;500 mg;Abirateronacetat;KRKA d.d. Novo mesto;L02BX03;Central;MOD;24-06-2021;Nej;;
28106419620;"Abiraterone ""Mylan""";filmovertrukne tabletter;1000 mg;Abirateronacetat;Mylan Ireland Limited;L02BX03;Central;MOD;20-08-2021;Nej;;
28106419520;"Abiraterone ""Mylan""";filmovertrukne tabletter;500 mg;Abirateronacetat;Mylan Ireland Limited;L02BX03;Central;MOD;20-08-2021;Nej;;
28106387320;"Abiraterone ""Orion""";filmovertrukne tabletter;500 mg;Abirateronacetat;Orion Corporation;L02BX03;Decentral procedure;CMS;20-10-2021;Nej;;
28106467020;"Abiraterone ""Qilu""";filmovertrukne tabletter;500 mg;Abirateronacetat;Qilu Pharma Spain S.L.;L02BX03;Decentral procedure;CMS;19-08-2022;Nej;;
28106466920;"Abiraterone ""Qilu""";tabletter;250 mg;Abirateronacetat;Qilu Pharma Spain S.L.;L02BX03;Decentral procedure;CMS;19-08-2022;Nej;;
28106474220;"Abiraterone ""Stada""";filmovertrukne tabletter;500 mg;Abirateronacetat;STADA Arzneimittel AG;L02BX03;Decentral procedure;CMS;18-01-2022;Ja;;
28106525920;"Abiraterone ""Zentiva""";filmovertrukne tabletter;500 mg;Abirateronacetat;Zentiva k.s.;L02BX03;Decentral procedure;CMS;11-07-2022;Nej;;
28106476620;"Abirateron ""medac""";filmovertrukne tabletter;500 mg;Abirateronacetat;Medac, Gesellschaft für klinische Spezialpräparate mbH;L02BX03;Decentral procedure;RMS;22-03-2022;Nej;;
28106476520;"Abirateron ""medac""";tabletter;250 mg;Abirateronacetat;Medac, Gesellschaft für klinische Spezialpräparate mbH;L02BX03;Decentral procedure;RMS;22-03-2022;Nej;;
28106564021;"Abirateron ""Medical Valley""";filmovertrukne tabletter;500 mg;Abirateronacetat;Medical Valley Invest AB;L02BX03;Decentral procedure;CMS;31-08-2022;Ja;;
28106547920;"Abirateron ""Pharmagen""";filmovertrukne tabletter;500 mg;Abirateronacetat;PHARMAGEN CZ s.r.o.;L02BX03;Decentral procedure;RMS;03-06-2022;Nej;;
28106427920;"Abirateron ""Sandoz""";filmovertrukne tabletter;1000 mg;Abirateronacetat;Sandoz A/S;L02BX03;Decentral procedure;CMS;13-01-2022;Nej;;
28106372519;"Abirateron ""Sandoz""";filmovertrukne tabletter;500 mg;Abirateronacetat;Sandoz A/S;L02BX03;Decentral procedure;CMS;13-01-2022;Ja;;
28106544620;"Abirateron ""Teva""";filmovertrukne tabletter;500 mg;Abirateronacetat;Teva B.V.;L02BX03;Decentral procedure;RMS;07-07-2022;Nej;;
28104011606;Abraxane;pulver til infusionsvæske, suspension;5 mg/ml;PACLITAXEL;Bristol-Myers Squibb Pharma EEIG;L01CD01;Central;MOD;11-01-2008;Ja;;
28103921806;abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;6000 IU/0,6 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28103922006;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;10000 IU/1,0 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28103921306;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;1000 IU/0,5 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28104646710;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;20000 IU / 0,5 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28103921406;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;2000 IU/1,0 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28104646810;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;30000 IU / 0,75 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28103921506;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;3000 IU/0,3 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28104646910;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;40000 IU / 1,0 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28103921606;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;4000 IU/0,4 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28103921706;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;5000 IU/0,5 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28104214907;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;7000 IU/0,7 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28103921906;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;8000 IU/0,8 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28104215007;Abseamed;injektionsvæske, opløsning i fyldt injektionssprøjte;9000 IU/0,9 ml;EPOETIN ALFA;MEDICE Arzneimittel Pütter GmbH & Co. KG;B03XA01;Central;MOD;15-06-2012;Nej;;
28103981706;Abstral;resoribletter, sublinguale;100 mikrogram;FENTANYLCITRAT;Kyowa Kirin Holdings B.V.;N02AB03;Decentral procedure;CMS;21-11-2008;Ja;;
28105956317;Abstral;resoribletter, sublinguale;100 mikrogram;FENTANYLCITRAT;Orifarm A/S;N02AB03;Par-Imp;DKMA;05-07-2017;Ja;;
28106007817;Abstral;resoribletter, sublinguale;100 mikrogram;FENTANYLCITRAT;2care4 ApS;N02AB03;Par-Imp;DKMA;28-11-2017;Ja;;
28103981806;Abstral;resoribletter, sublinguale;200 mikrogram;FENTANYLCITRAT;Kyowa Kirin Holdings B.V.;N02AB03;Decentral procedure;CMS;21-11-2008;Ja;;
28105979717;Abstral;resoribletter, sublinguale;200 mikrogram;FENTANYLCITRAT;Orifarm A/S;N02AB03;Par-Imp;DKMA;30-08-2017;Ja;;
28106007917;Abstral;resoribletter, sublinguale;200 mikrogram;FENTANYLCITRAT;2care4 ApS;N02AB03;Par-Imp;DKMA;28-11-2017;Ja;;
28103981906;Abstral;resoribletter, sublinguale;300 mikrogram;FENTANYLCITRAT;Kyowa Kirin Holdings B.V.;N02AB03;Decentral procedure;CMS;21-11-2008;Ja;;
28103982006;Abstral;resoribletter, sublinguale;400 mikrogram;FENTANYLCITRAT;Kyowa Kirin Holdings B.V.;N02AB03;Decentral procedure;CMS;21-11-2008;Ja;;
28106008017;Abstral;resoribletter, sublinguale;400 mikrogram;FENTANYLCITRAT;2care4 ApS;N02AB03;Par-Imp;DKMA;28-11-2017;Ja;;
28103982106;Abstral;resoribletter, sublinguale;600 mikrogram;FENTANYLCITRAT;Kyowa Kirin Holdings B.V.;N02AB03;Decentral procedure;CMS;21-11-2008;Ja;;
28103982206;Abstral;resoribletter, sublinguale;800 mikrogram;FENTANYLCITRAT;Kyowa Kirin Holdings B.V.;N02AB03;Decentral procedure;CMS;21-11-2008;Ja;;
28106262419;"Acamprosatcalcium ""2care4""";enterotabletter;333 mg;Acamprosatcalcium;2care4 ApS;N07BB03;Par-Imp;DKMA;28-10-2019;Ja;;
28105502414;Acarizax;frysetørret tablet;12 SQ-HDM;Dermatophagoides farinae, Dermatophagoides pteronyssinus;ALK-Abello A/S;V01AA03;Decentral procedure;CMS;23-09-2015;Ja;;
28105855816;Acarizax;frysetørret tablet;12 SQ-HDM;Dermatophagoides farinae, Dermatophagoides pteronyssinus;Paranova Danmark A/S;V01AA03;Par-Imp;DKMA;29-11-2016;Ja;;
28105867216;Acarizax;frysetørret tablet;12 SQ-HDM;Dermatophagoides farinae, Dermatophagoides pteronyssinus;Orifarm A/S;V01AA03;Par-Imp;DKMA;23-02-2017;Ja;;
28106249519;Acarizax;frysetørret tablet;12 SQ-HDM;Dermatophagoides farinae, Dermatophagoides pteronyssinus;Abacus Medicine A/S;V01AA03;Par-Imp;DKMA;24-04-2019;Ja;;
28106265519;Acarizax;frysetørret tablet;12 SQ-HDM;Dermatophagoides farinae, Dermatophagoides pteronyssinus;2care4 ApS;V01AA03;Par-Imp;DKMA;21-06-2019;Ja;;
28106573220;Accofil;injektions-/infusionsvæske, opløsning, fyldt injektionssprøjte;12 ME/0,2 ml;FILGRASTIM;Accord Healthcare S.L.U.;L03AA02;Central;MOD;10-06-2021;Ja;;
28105408914;Accofil;injektions-/infusionsvæske, opløsning, fyldt injektionssprøjte;30 ME/0,5ml;FILGRASTIM;Accord Healthcare S.L.U.;L03AA02;Central;MOD;18-09-2014;Ja;;
28105409014;Accofil;injektions-/infusionsvæske, opløsning, fyldt injektionssprøjte;48 ME/0,5ml;FILGRASTIM;Accord Healthcare S.L.U.;L03AA02;Central;MOD;18-09-2014;Ja;;
28106573320;Accofil;injektions-/infusionsvæske, opløsning, fyldt injektionssprøjte;70 ME/0,73 ml;FILGRASTIM;Accord Healthcare S.L.U.;L03AA02;Central;MOD;10-06-2021;Ja;;
28100859185;"Acetylcystein ""SAD""";koncentrat til infusionsvæske, opløsning;200 G/L;ACETYLCYSTEIN;Amgros I/S;V03AB23;National;DKMA;02-02-1987;Nej;;
28106933423;Acetylsalicylsyre Carefarm;enterotabletter;75 mg;ACETYLSALICYLSYRE;Orifarm A/S;B01AC06;Par-Imp;DKMA;11-04-2023;Nej;;
28105699015;"Acetylsalicylsyre ""Teva""";tabletter;150 mg;ACETYLSALICYLSYRE;Teva B.V.;B01AC06;Decentral procedure;CMS;08-11-2016;Ja;;
28105698915;"Acetylsalicylsyre ""Teva""";tabletter;75 mg;ACETYLSALICYLSYRE;Teva B.V.;B01AC06;Decentral procedure;CMS;08-11-2016;Ja;;
28103002898;Aciclodan;creme;50 mg/g;ACICLOVIR;STADA Arzneimittel AG;D06BB03;MRP;RMS;16-03-2000;Ja;;
28101863196;Aciclodan;tabletter;200 mg;ACICLOVIR;STADA Arzneimittel AG;J05AB01;MRP;CMS;17-11-1997;Ja;;
28101863296;Aciclodan;tabletter;400 mg;ACICLOVIR;STADA Arzneimittel AG;J05AB01;MRP;CMS;17-11-1997;Ja;;
28101863396;Aciclodan;tabletter;800 mg;ACICLOVIR;STADA Arzneimittel AG;J05AB01;MRP;CMS;17-11-1997;Ja;;
28103529203;"Aciclovir ""1A Farma""";tabletter;200 mg;ACICLOVIR;1A Farma A/S;J05AB01;National;DKMA;29-07-2005;Ja;;
28103529303;"Aciclovir ""1A Farma""";tabletter;400 mg;ACICLOVIR;1A Farma A/S;J05AB01;National;DKMA;29-07-2005;Ja;;
28103529403;"Aciclovir ""1A Farma""";tabletter;800 mg;ACICLOVIR;1A Farma A/S;J05AB01;National;DKMA;29-07-2005;Ja;;
28104607209;"Aciclovir ""2care4""";tabletter;400 mg;ACICLOVIR;2care4 ApS;J05AB01;Par-Imp;DKMA;29-01-2010;Nej;;
28106187918;"Aciclovir ""Accord""";koncentrat til infusionsvæske, opløsning;25 mg/ml;ACICLOVIR;Accord Healthcare B.V.;J05AB01;Decentral procedure;CMS;11-05-2020;Nej;;
28105477314;"Aciclovir ""Alternova""";tabletter;200 mg;ACICLOVIR;Alternova A/S;J05AB01;National;DKMA;13-01-2016;Ja;;
28106905623;Aciclovir Nordic Prime;tabletter;800 mg;ACICLOVIR;Nordic Prime ApS;J05AB01;Par-Imp;DKMA;03-03-2023;Nej;;
28103032498;"Aciclovir ""Pfizer""";koncentrat til infusionsvæske, opløsning;25 mg/ml;ACICLOVIR;Pfizer ApS;J05AB01;MRP;CMS;16-02-1999;Ja;;
28105627515;"Acitretin ""Orifarm""";kapsler, hårde;10 mg;ACITRETIN;Orifarm Generics A/S;D05BB02;Decentral procedure;RMS;10-08-2017;Ja;;
28105628015;"Acitretin ""Orifarm""";kapsler, hårde;25 mg;ACITRETIN;Orifarm Generics A/S;D05BB02;Decentral procedure;RMS;10-08-2017;Ja;;
28103030998;Acivir;creme;50 mg/g;ACICLOVIR;STADA Arzneimittel AG;D06BB03;MRP;RMS;30-12-1999;Ja;;
28103672604;Aclasta;infusionsvæske, opløsning;5 mg/100 ml;ZOLEDRONSYRE, MONOHYDRAT;Novartis Europharm Limited;M05BA08;Central;MOD;15-04-2005;Ja;;
28105654815;Aclonia;tabletter;70 mg+140 mikrogram;Cholecalciferol, Natriumalendronattrihydrat;Pharmathen S.A.;M05BB03;Decentral procedure;RMS;19-06-2017;Nej;;
28105654715;Aclonia;tabletter;70 mg+70 mikrogram;Cholecalciferol, Natriumalendronattrihydrat;Pharmathen S.A.;M05BB03;Decentral procedure;RMS;19-06-2017;Nej;;
28104895411;Acnatac;gel;10 mg/g+0,25 mg/g;CLINDAMYCINPHOSPHAT, Tretinoin;Viatris ApS;D10AF51;Decentral procedure;CMS;16-04-2013;Ja;;
28105147912;Acnenor;kapsler, bløde;10 mg;Isotretinoin;Teva B.V.;D10BA01;Decentral procedure;RMS;07-10-2013;Nej;;
28105148012;Acnenor;kapsler, bløde;20 mg;Isotretinoin;Teva B.V.;D10BA01;Decentral procedure;RMS;07-10-2013;Nej;;
28106485520;A-cnotren;kapsler, bløde;20 mg;Isotretinoin;Orifarm A/S;D10BA01;Par-Imp;DKMA;27-01-2023;Nej;;
28105111012;Actelsar HCT;tabletter;40 mg +12,5 mg;HYDROCHLORTHIAZID, TELMISARTAN;Actavis Group PTC ehf.;C09DA07;Central;MOD;13-03-2013;Nej;;
28105111112;Actelsar HCT;tabletter;80 mg +12,5 mg;HYDROCHLORTHIAZID, TELMISARTAN;Actavis Group PTC ehf.;C09DA07;Central;MOD;13-03-2013;Nej;;
28105111212;Actelsar HCT;tabletter;80 mg + 25 mg;HYDROCHLORTHIAZID, TELMISARTAN;Actavis Group PTC ehf.;C09DA07;Central;MOD;13-03-2013;Nej;;
28105006111;Actikerall;kutanopløsning;5 mg/g+100 mg/g;FLUORURACIL, SALICYLSYRE;Almirall Hermal GmbH;L01BC52;Decentral procedure;CMS;30-01-2013;Ja;;
28103282401;Actilax;orale dråber, opløsning;7,5 mg/ml;NATRIUMPICOSULFAT;Viatris ApS;A06AB08;National;DKMA;19-11-2001;Ja;;
28101415990;Actilyse;pulver og solvens til injektions- /infusionsvæske, opløsning;;ALTEPLASE;Boehringer Ingelheim Int. GmbH;B01AD02;MRP;CMS;08-01-1991;Ja;;
28103231701;Actiq;sugetabletter;200 mikrogram;FENTANYLCITRAT;Teva Pharma B.V.;N02AB03;MRP;CMS;23-10-2001;Nej;;
28103231801;Actiq;sugetabletter;400 mikrogram;FENTANYLCITRAT;Teva Pharma B.V.;N02AB03;MRP;CMS;23-10-2001;Ja;;
28103231901;Actiq;sugetabletter;600 mikrogram;FENTANYLCITRAT;Teva Pharma B.V.;N02AB03;MRP;CMS;23-10-2001;Ja;;
28103232001;Actiq;sugetabletter;800 mikrogram;FENTANYLCITRAT;Teva Pharma B.V.;N02AB03;MRP;CMS;23-10-2001;Ja;;
28106777122;Actiq;sugetabletter;800 mikrogram;FENTANYLCITRAT;2care4 ApS;N02AB03;Par-Imp;DKMA;20-06-2022;Ja;;
28103009598;Activelle;filmovertrukne tabletter;0,5+1 mg;ESTRADIOL, NORETHISTERONACETAT;Novo Nordisk A/S;G03FA01;MRP;CMS;21-07-1998;Ja;;
28104202307;Activelle low;filmovertrukne tabletter;0,5+0,1 mg;ESTRADIOLHEMIHYDRAT, NORETHISTERONACETAT;Novo Nordisk A/S;G03FA01;MRP;CMS;07-04-2008;Nej;;
28105059412;Activyl til ekstra storehunde;spot-on, opløsning;900 mg;Indoxacarb;Intervet International B.V.;QP53AX27;Central;MOD;18-02-2011;Nej;;
28105059212;Activyl til mellemstore hunde;spot-on, opløsning;300 mg;Indoxacarb;Intervet International B.V.;QP53AX27;Central;MOD;18-02-2011;Nej;;
28104618409;Activyl til miniaturehunde;spot-on, opløsning;100 mg;Indoxacarb;Intervet International B.V.;QP53AX27;Central;MOD;18-02-2011;Nej;;
28105059112;Activyl til små hunde;spot-on, opløsning;150 mg;Indoxacarb;Intervet International B.V.;QP53AX27;Central;MOD;18-02-2011;Nej;;
28105059512;Activyl til små katte;spot-on, opløsning;100 mg;Indoxacarb;Intervet International B.V.;QP53AX27;Central;MOD;18-02-2011;Nej;;
28105059312;Activyl til store hunde;spot-on, opløsning;600 mg;Indoxacarb;Intervet International B.V.;QP53AX27;Central;MOD;18-02-2011;Nej;;
28105059612;Activyl til store katte;spot-on, opløsning;200 mg;Indoxacarb;Intervet International B.V.;QP53AX27;Central;MOD;18-02-2011;Nej;;
28103052198;Actos;tabletter;15 mg;PIOGLITAZONHYDROCHLORID;Takeda Pharma A/S;A10BG03;Central;MOD;13-10-2000;Nej;;
28103089399;Actos;tabletter;30 mg;PIOGLITAZONHYDROCHLORID;Takeda Pharma A/S;A10BG03;Central;MOD;13-10-2000;Nej;;
28103461102;Actos;tabletter;45 mg;PIOGLITAZONHYDROCHLORID;Takeda Pharma A/S;A10BG03;Central;MOD;16-09-2003;Nej;;
28103269101;Actraphane 10 NovoLet;injektionsvæske, suspension, fyldt injektionssprøjte;100 IU/ml;INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA);Novo Nordisk A/S;A10AD01;Central;RAP;07-10-2002;Nej;;
28103269201;Actraphane 20 NovoLet;injektionsvæske, suspension, fyldt injektionssprøjte;100 IU/ml;INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA);Novo Nordisk A/S;A10AD01;Central;RAP;07-10-2002;Nej;;
28103268501;Actraphane 30;injektionsvæske, suspension;100 IU/ml;INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA);Novo Nordisk A/S;A10AD01;Central;RAP;07-10-2002;Nej;;
28103268401;Actraphane 30;injektionsvæske, suspension;40 IU/ml;INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA);Novo Nordisk A/S;A10AD01;Central;RAP;07-10-2002;Nej;;
28103269701;Actraphane 30 FlexPen;injektionsvæske, suspension, fyldt injektionssprøjte;100 IU/ml;INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA);Novo Nordisk A/S;A10AD01;Central;RAP;07-10-2002;Nej;;
28103269601;Actraphane 30 InnoLet;injektionsvæske, suspension, fyldt injektionssprøjte;100 IU/ml;INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA);Novo Nordisk A/S;A10AD01;Central;RAP;07-10-2002;Nej;;
28103268801;Actraphane 30 Penfill;injektionsvæske, suspension, flerdosispen;100 IU/ml;INSULIN (isofaninsulin) HUMAN, Insulin, humant (rDNA);Novo Nordisk A/S;A10AD01;Central;RAP;07-10-2002;Nej;;
